,price,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options_laundry on site,laundry_options_no laundry on site,laundry_options_w/d hookups,laundry_options_w/d in unit,parking_options_attached garage,parking_options_carport,parking_options_detached garage,parking_options_off-street parking,parking_options_street parking
61,1115,1144,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
62,1192,827,1,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
63,870,570,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
64,875,982,2,2.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
65,913,550,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
66,1450,800,2,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
67,1295,900,2,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
68,975,800,1,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
69,1297,1078,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
70,1232,980,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
71,1099,800,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,725,590,1,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
73,268,300,0,1.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
74,1070,893,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
75,1200,772,1,1.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
76,1175,1105,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
77,1495,1146,3,2.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
78,679,240,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
79,1469,519,1,1.0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
80,1192,742,1,1.0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
81,1073,800,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
82,1130,1107,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
83,1271,938,2,2.0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
84,1075,965,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
85,1116,865,2,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
86,268,300,0,1.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
87,1152,777,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
88,1595,1293,3,2.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
89,1453,1200,3,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
90,1025,782,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
91,1107,646,1,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
92,699,540,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
93,1326,765,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
94,1255,959,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
95,1480,1055,2,2.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
96,825,789,2,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
97,864,570,1,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
98,209,300,0,1.0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
99,1000,600,1,1.0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
100,870,570,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
101,1019,550,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
102,1200,1100,2,2.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
103,1045,900,1,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
104,1155,1005,2,2.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
105,5000,4391,5,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
106,1106,782,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
107,1447,1032,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
108,1031,695,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
109,268,300,0,1.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
110,1070,893,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
111,1265,959,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
112,1301,1025,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
113,695,475,0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
114,795,491,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
115,875,636,2,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
116,920,853,2,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
117,0,778,2,2.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
118,679,240,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
119,920,456,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
