,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
358819,1075,apartment,965,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358820,1116,apartment,865,2,1.0,1,1,1,0,0,0,,
358821,268,apartment,300,0,1.0,1,1,0,0,0,1,laundry on site,
358822,1152,apartment,777,1,1.0,0,0,1,0,0,0,,
358824,1595,apartment,1293,3,2.0,1,1,1,0,0,0,,
358833,1453,apartment,1200,3,2.0,0,0,1,0,0,0,,
358835,1025,apartment,782,1,1.0,0,0,1,0,0,0,,
358836,1107,apartment,646,1,1.0,1,1,1,1,0,0,w/d in unit,
358837,699,apartment,540,1,1.0,1,1,1,0,0,0,laundry on site,carport
358842,1326,apartment,765,1,1.0,0,0,1,0,0,0,,
358843,1255,apartment,959,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358844,1480,apartment,1055,2,2.0,1,1,0,0,0,0,w/d in unit,carport
358849,825,apartment,789,2,1.0,1,1,1,0,0,0,laundry on site,
358852,864,apartment,570,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
358857,209,apartment,300,0,1.0,1,1,0,1,0,1,laundry on site,
358858,1000,apartment,600,1,1.0,1,1,1,1,0,1,laundry on site,
358861,870,apartment,570,1,1.0,1,1,1,0,0,0,laundry on site,carport
358862,1019,apartment,550,1,1.0,1,1,1,0,0,0,,
358863,1200,apartment,1100,2,2.0,1,1,1,1,0,0,w/d in unit,off-street parking
358864,1045,apartment,900,1,1.0,1,1,1,1,0,0,laundry on site,off-street parking
358865,1155,apartment,1005,2,2.0,1,1,1,1,0,0,w/d in unit,off-street parking
358866,5000,apartment,4391,5,4.0,0,0,1,0,0,0,,
358867,1106,apartment,782,1,1.0,1,1,1,0,0,0,w/d in unit,carport
358868,1447,apartment,1032,2,2.0,0,0,1,0,0,0,,
358869,1031,apartment,695,1,1.0,0,0,1,0,0,0,,
358871,268,apartment,300,0,1.0,1,1,0,0,0,1,laundry on site,
358872,1070,apartment,893,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358873,1265,apartment,959,2,2.0,1,1,1,0,0,0,w/d in unit,carport
