,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
80,1192,apartment,742,1,1.0,1,1,1,0,0,0,laundry on site,detached garage
81,1073,apartment,800,1,1.0,0,0,1,0,0,0,no laundry on site,None
82,1130,apartment,1107,2,2.0,0,0,1,0,0,0,no laundry on site,None
83,1271,apartment,938,2,2.0,1,1,1,1,0,1,w/d in unit,None
84,1075,apartment,965,2,2.0,1,1,1,0,0,0,w/d in unit,carport
85,1116,apartment,865,2,1.0,1,1,1,0,0,0,no laundry on site,None
86,268,apartment,300,0,1.0,1,1,0,0,0,1,laundry on site,None
87,1152,apartment,777,1,1.0,0,0,1,0,0,0,no laundry on site,None
88,1595,apartment,1293,3,2.0,1,1,1,0,0,0,no laundry on site,None
89,1453,apartment,1200,3,2.0,0,0,1,0,0,0,no laundry on site,None
90,1025,apartment,782,1,1.0,0,0,1,0,0,0,no laundry on site,None
91,1107,apartment,646,1,1.0,1,1,1,1,0,0,w/d in unit,None
92,699,apartment,540,1,1.0,1,1,1,0,0,0,laundry on site,carport
93,1326,apartment,765,1,1.0,0,0,1,0,0,0,no laundry on site,None
94,1255,apartment,959,2,2.0,1,1,1,0,0,0,w/d in unit,carport
95,1480,apartment,1055,2,2.0,1,1,0,0,0,0,w/d in unit,carport
96,825,apartment,789,2,1.0,1,1,1,0,0,0,laundry on site,None
97,864,apartment,570,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
98,209,apartment,300,0,1.0,1,1,0,1,0,1,laundry on site,None
99,1000,apartment,600,1,1.0,1,1,1,1,0,1,laundry on site,None
100,870,apartment,570,1,1.0,1,1,1,0,0,0,laundry on site,carport
101,1019,apartment,550,1,1.0,1,1,1,0,0,0,no laundry on site,None
102,1200,apartment,1100,2,2.0,1,1,1,1,0,0,w/d in unit,off-street parking
103,1045,apartment,900,1,1.0,1,1,1,1,0,0,laundry on site,off-street parking
104,1155,apartment,1005,2,2.0,1,1,1,1,0,0,w/d in unit,off-street parking
105,5000,apartment,4391,5,4.0,0,0,1,0,0,0,no laundry on site,None
106,1106,apartment,782,1,1.0,1,1,1,0,0,0,w/d in unit,carport
107,1447,apartment,1032,2,2.0,0,0,1,0,0,0,no laundry on site,None
108,1031,apartment,695,1,1.0,0,0,1,0,0,0,no laundry on site,None
109,268,apartment,300,0,1.0,1,1,0,0,0,1,laundry on site,None
110,1070,apartment,893,2,2.0,1,1,1,0,0,0,w/d in unit,carport
111,1265,apartment,959,2,2.0,1,1,1,0,0,0,w/d in unit,carport
112,1301,apartment,1025,2,2.0,0,0,1,0,0,0,no laundry on site,None
113,695,apartment,475,0,1.0,1,1,1,0,0,0,no laundry on site,None
114,795,apartment,491,1,1.0,1,1,1,0,0,0,no laundry on site,None
115,875,apartment,636,2,1.0,1,1,1,0,0,0,no laundry on site,None
116,920,apartment,853,2,1.0,1,1,1,0,0,0,no laundry on site,None
117,0,apartment,778,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
118,679,apartment,240,0,1.0,0,0,1,0,0,0,no laundry on site,None
119,920,apartment,456,1,1.0,0,0,1,0,0,0,no laundry on site,None
120,1365,apartment,461,1,1.0,1,1,0,1,0,0,w/d in unit,detached garage
121,1035,apartment,771,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
122,625,apartment,500,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
123,1189,apartment,925,2,1.0,0,0,1,0,0,0,no laundry on site,None
124,1170,apartment,1107,2,2.0,0,0,1,0,0,0,no laundry on site,None
125,1192,apartment,742,1,1.0,1,1,1,0,0,0,w/d in unit,detached garage
126,800,apartment,750,2,1.0,0,0,1,0,0,0,w/d hookups,None
127,1297,apartment,1003,2,2.0,1,1,1,1,0,1,w/d in unit,None
128,950,apartment,1204,4,2.5,1,1,1,0,0,0,no laundry on site,None
129,209,apartment,300,0,1.0,1,1,0,1,0,1,no laundry on site,None
130,1314,apartment,1200,3,2.0,1,1,1,0,0,0,w/d in unit,carport
131,1312,apartment,1167,2,2.0,1,1,1,1,0,0,w/d in unit,detached garage
132,929,apartment,686,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
133,1495,apartment,1146,3,2.0,1,1,1,0,0,0,no laundry on site,None
134,1513,apartment,1006,2,2.0,1,1,1,0,0,0,w/d in unit,carport
135,268,apartment,300,0,1.0,1,1,0,0,0,1,laundry on site,None
136,886,apartment,400,1,1.0,1,1,1,0,0,0,no laundry on site,None
137,866,apartment,570,1,1.0,0,0,1,0,0,0,no laundry on site,None
138,773,apartment,676,1,1.0,0,0,1,0,0,0,no laundry on site,None
139,1050,apartment,762,2,1.0,1,1,1,0,0,0,laundry in bldg,carport
140,1248,apartment,938,2,2.0,1,1,1,1,0,0,w/d in unit,None
141,1314,apartment,725,1,1.0,1,1,1,0,0,0,w/d in unit,carport
142,1019,apartment,550,1,1.0,1,1,1,0,0,0,no laundry on site,None
143,1510,apartment,1213,2,2.0,0,0,1,0,0,0,w/d in unit,attached garage
144,1185,apartment,879,2,1.0,1,1,1,0,0,0,laundry on site,carport
145,1515,apartment,1219,3,2.0,0,0,1,0,0,0,no laundry on site,None
146,1275,apartment,1017,2,2.0,1,1,1,0,0,0,w/d in unit,carport
147,1353,apartment,1054,2,2.0,0,0,1,0,0,0,no laundry on site,None
148,941,apartment,634,1,1.0,1,1,1,0,0,0,laundry on site,carport
149,1131,apartment,950,2,2.0,1,1,1,0,0,0,w/d in unit,carport
150,1109,apartment,768,1,1.0,0,0,1,0,0,0,no laundry on site,None
151,1833,apartment,1289,3,2.0,1,1,1,0,0,0,w/d in unit,carport
152,1050,apartment,750,1,1.0,1,1,1,0,0,0,laundry on site,carport
