,id,url,region,region_url,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
359015,7048681263,https://phoenix.craigslist.org/cph/apa/d/phoenix-fitness-center-fireplace/7048681263.html,phoenix,https://phoenix.craigslist.org,1301,apartment,1003,2,2.0,1,1,0,0,0,0,w/d in unit,carport,https://images.craigslist.org/00W0W_b9I2ya3xq3f_600x450.jpg,"Bedrooms: 2 Bathrooms: 2 Square Feet: 1003  Residents of these beautiful one-, two-, and three-bedroom apartments in Phoenix, AZ love the newly renovated interiors. The residences in the Mountain Park area boast deluxe kitchens with stunning wood-plank flooring. The espresso cabinets and modern appliance packages create a contemporary feel. (+more) Each home is outfitted with a convenient dishwasher, an efficient glass-top stove, a microwave, and a garbage disposal. The one-, two-, and three-bedroom apartment homes at Sonoran are finished with crisp air conditioning, and select homes include a fireplace. The lofty nine-foot ceilings create a spacious feel and have fans to help keep residents comfortable all year. Enjoy peace of mind, knowing that your pets will be right alongside, enjoying your pet-friendly apartment with you. The three sparkling swimming pools will refresh you during our warmest days, and our air-conditioned fitness center will keep you on your toes no matter the season. Our location in the Ahwatukee Foothills offers plenty of year-round activities throughout the South Mountain Preserve. Shopping, school and work are all just a stoneâs throw away, allowing you to enjoy the easy life youâve been dreaming of. Weâre close to the Ahwatukee Foothills Town Center and easy access to I10 and 202. Take a look at our Photo Gallery and then schedule a tour with us, weâd love to show you around. Contact us today!  Apartment Features: -2â Faux Wood Blinds* -Full-Sized Washer & Dryer -Stainless Steel Kitchen Appliances* -Wood Plank Flooring -Ceiling Fan -White shaker cabinetry* -Cable & Satellite TV Available -Fireplace* -Quartz Countertops* -Private Balcony or Patio  Community Features: -Fitness Center -Professional On-Site Management -Courtesy Patrol -Smoke Free Living -Barbecue with Picnic Area -Resident Social Activities -Sand Volleyball -Walk to Bus Line -Pet Friendly Community -Heated Outdoor Swimming Pool & Spa  Call:  show contact info   Equal Housing Opportunity Prices Change Daily Flexible Lease Terms",33.3215,-111.98,az
359016,7049988980,https://phoenix.craigslist.org/evl/apa/d/scottsdale-cyber-caf-balcony-with/7049988980.html,phoenix,https://phoenix.craigslist.org,1425,apartment,1213,2,2.0,1,0,0,0,0,0,,carport,https://images.craigslist.org/00i0i_jxBRSLSuCLm_600x450.jpg,"Visconti at Camelback 7979 East Camelback Road, Scottsdale, AZ, 85251Use the link below for more details:http://cl.greystar.com/3s1o1m Call Now:  show contact info  x 141OR Text 141 to  show contact info  to text our team directly.Upgrade your lifestyle This is a 2 Bedroom, 2 Bath, approximately 1213 Sq. Ft.  This location can't be beat! Situated in Old Town Scottsdale's prime neighborhood off of Camelback Road, our community features spacious one and two bedroom apartments for rent. With five distinctive floor plans to choose from and upgraded interiors, it won't be hard to fall in love with the location and living space! Premium amenities include four resort style swimming pools, hot tubs, a 24-hour fitness center, a newly renovated two-story club house, hiking/jogging trails, a sand volleyball court, and a dog park. Come visit us today to schedule your own tour! Features - Individual Air Conditioning  - New Kitchen Lighting*  - Washer & Dryer *  - Hardwood Floors*  - New Cabinets*  - Cable Ready  - Dishwasher  - New Black Appliances*  - Balcony with Storage Closet  - Granite Countertops*  - Ceiling Fans* * Available in select apartment homes Community Amenities - Newly Renovated Clubhouse  - Fitness Center  - 2 Resort-Style Pools  - Emergency Maintenance  - Pet Friendly  - Billiards room  - Sand Volley Ball Court  - Laundry Centers throughout  - A Spa and Jacuzzi  - Public Transportation  - High Speed Internet Access  - Wireless Internet Access in Common Areas  - Swimming Pool  - Dog Park  - Cyber CafÃ©  - BBQ Grills  - Trail, Bike, Hike, Jog  - Covered Parking Equal Housing Opportunity o36FbDr6R",33.5021,-111.90899999999999,az
359017,7049988926,https://phoenix.craigslist.org/evl/apa/d/gilbert-welcome-home/7049988926.html,phoenix,https://phoenix.craigslist.org,1535,apartment,1253,2,2.0,1,1,1,0,0,0,w/d in unit,carport,https://images.craigslist.org/00r0r_eiqCFBksGvv_600x450.jpg,"Welcome Home! WELCOME TO THE TRAILS AT SAN Call Now:  show contact info  x 77OR Text 77 to  show contact info  for more information.The Trails at San Tan 2505 E Williams Field Rd, Gilbert, AZ, 85295Want more information? Follow this link:http://mebmgmt.aptfeatures.com/t5731n This is a 3 Bedroom, 2 Bath, approximately 1250 Sq. Ft.  We don't just rent apartments. From the moment you walk through the front door you'll feel the comfort and security that makes our residents happy to call us home. Cutting edge amenities, meticulously-groomed grounds, and a dedicated staff contributes to a higher standard of living. Convenient shopping, award-winning schools, local museums and parks are all close at hand, with sponsored activities to develop new hobbies while getting to know your neighbors. Features - Cherry Wood Cabinetry  - Wood floors  - Fireplaces Available  - Gourmet Kitchens  - Energy Efficient  - Black Granite Counter Tops  - Wired for Technology  - Loft Layouts  - Black Whirlpool Appliance Package  - Ceiling Fans  - Garden tubs  - Full-Size Washer/Dryer  - Crown Molding Community Amenities - Theatre Room  - Outdoor Lounge with TV  - Green Friendly  - Business Center  - Recycling Program  - BBQ Grills  - Gated Access  - Clubhouse  - Emergency Maintenance  - Garages  - Extra Storage  - Resort-Style Pools  - Billiards Room  - Playground  - Fitness Center  - Icafe  - Hot Tub  - Conference Center  - Controlled Access Pet Policy Pet Friendly Community. We accept dogs and cats breed and weight restrictions apply. Income Requirements: Prices Subject to Change Without NoticeDriving Directions Exit loop 202 heading east off of Williams Field first community on the left Office Hours Monday-Friday:9:00AM-6:00PMSaturday:10:00AM-5:00PM Equal Housing Opportunity vd6unLJC",33.3045,-111.73700000000001,az
359018,7049988823,https://phoenix.craigslist.org/cph/apa/d/phoenix-vela-camelback-two-bedroom/7049988823.html,phoenix,https://phoenix.craigslist.org,1677,apartment,1098,2,2.0,0,0,1,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/00v0v_aSJBXIH5hFk_600x450.jpg,"Vela on Camelback  4949 N. 7th Street, Phoenix, AZ, 85014   Call Now -  show contact info   Want more info? See the link below: http://apartments.shelton-cook.com/7s6ng9  Welcome Home to Vela on Camelback   This is a 2 Bedroom, 2 Bath, approximately 1098 Sq. Ft.      Equal Housing Opportunity    0Wg0pIW4weD6",33.5103,-112.056,az
359019,7049988766,https://phoenix.craigslist.org/nph/apa/d/phoenix-loft-living/7049988766.html,phoenix,https://phoenix.craigslist.org,785,apartment,502,0,1.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00I0I_49yvtKDOJgz_600x450.jpg,"VIEW OUR WEBSITE:  http://www.weidner.com/phoenix/acclaim-apartment-homes/switch_cls[id]/30834/  Acclaim Apartments, managed by Weidner Apartment Homes 2506 West Dunlap Avenue Phoenix, AZ 85021  show contact info   Come view today  MOVE IN TODAY AND GET $350 OFF THE FIRST MONTH! ASK ABOUT APARTMENT 348 TODAY!    Eat in kitchen bar area, large sleeping area, washer and dryer in the bathroom and more. This apartment requires a $300 (OAC) deposit.  Monday 9:30am - 5:30pm Tuesday 9:30am - 5:30pm Wednesday 9:30am - 5:30pm Thursday 9:30am - 5:30pm Friday 9:30am - 5:30pm Saturday 10:00am - 5:00pm    Community Features * Controlled Access * Easy Freeway Access * TV Lounge * Swimming Pool * E-Lounge * se habla espanol * Garage Parking * Package Acceptance * Professionally Managed * Renters Insurance is Required * WiFi Access * Reserved Parking * Outdoor Grill Area * Our prices can change daily, price listed is based on today's availability. Call for details. * Community Lounge * Minutes from Restaurants, Shopping, and Much More * Guest Parking * Elevator * Controlled Access Parking * DVD Rentals * Easy Access to Public Transportation * Bike Racks * Covered Parking * After-Hours Emergency Maintenance * Fitness Studio * Credit Cards Accepted * Short or Long Term Lease Available  [#7008146]",33.5679,-112.11399999999999,az
359020,7049988731,https://phoenix.craigslist.org/cph/apa/d/mesa-2b-2b-covered-parking-on-site/7049988731.html,phoenix,https://phoenix.craigslist.org,1212,apartment,916,2,2.0,1,1,1,0,0,0,,,https://images.craigslist.org/00000_jSi91HBj7XX_600x450.jpg,"** Please note that our leasing office is undergoing a remodel. Please follow the signs to our temporary home which is located in the clubhouse ** Seize your chance to live in one of the premier apartment communities in Mesa, AZ. Picture coming home every day to the warm embrace of five sparkling lakes spread across 35 acres providing the perfect tranquil setting for your new apartment home and Southwest lifestyle. Located in Superstition Springs, Mesa, with easy access to E Baseline Rd and Highway 60, Lakeview at Superstition Springs is just minutes away from Phoenix-Mesa Gateway Airport, as well as all of the shopping, dining, and entertainment that nearby Phoenix has to offer. (+more) Lakeview at Superstition Springs provides its residents a wide selection of unique one, two, or three bedroom townhomes that feature exclusive community and household amenities like a basketball court, vaulted ceilings, and four relaxing pools and spas. Choose your perfect townhome and build your own oasis. Come wiggle your toes in our picturesque pool, stroll through our pet-friendly community with your favorite furry companion, or have a day out on the town in nearby Phoenix. We know you deserve the very best in apartment living, and our community is designed specifically to ensure you donât just lease, you live. Go look at our photo gallery and schedule your appointment, or drop by and visit us for your personal tour today!  -On-Site Management -Business Center -Wood-inspired Flooring in the Living Spaces -Large Closets -Resident Lounge with Billiards, Kitchen, and Fireplace -Stunning Lake Views -Playground -Basketball Court -Five Tranquil Lakes Spread Across 35 Acres -Covered Parking -Courtyard -Private Balcony or Patio  Call:  show contact info   Equal Housing Opportunity Prices Change Daily Flexible Lease Terms",33.3824,-111.686,az
359021,7049988589,https://phoenix.craigslist.org/nph/apa/d/phoenix-come-see-our-beautiful-2x1/7049988589.html,phoenix,https://phoenix.craigslist.org,975,apartment,863,2,1.0,1,1,1,0,0,0,w/d in unit,carport,https://images.craigslist.org/00h0h_1oXYc31D5xf_600x450.jpg,"Montelano offers quality and comfort in Phoenix, AZ. We offer eight different floor plans and exceptional amenities with recent upgrades. Work up a sweat at our fitness center, or cool down in our beautiful pool surrounded by palm trees. Spend time with family and friends in the recreation area â think grills and bean bag toss â next to our new playground and basketball court. For your convenience, we provide reserved, covered parking and a controlled access gate. To learn more about life at Montelano, make an appointment with me, Chella! Youâll feel at home in no time.  Community Amenities: 24 Hour Emergency Maintenance Team Professional On-Site Management Club House Business Center Complimentary Wi-Fi in Clubhouse Fitness Center Pool and Spa Play Areas Basketball Court Tennis Court Soccer Field (COMING SOON) Picnic and Grilling Area Reserved-Covered Parking Complimentary Movie rentals Online Payment System  Apartment Home Features: Washer and Dryer in unit Ceiling Fans in bed rooms Patio/Balcony Outside Storage Walk in Closets  WAIVED $150 Admin Fee Application fee $45  Parking Fee- $10 (monthly)",33.5594,-112.101,az
359022,7038475443,https://phoenix.craigslist.org/nph/apa/d/phoenix-ultimate-escape-move-in-ready-4/7038475443.html,phoenix,https://phoenix.craigslist.org,536,house,2069,4,3.0,0,0,1,0,0,0,w/d hookups,attached garage,https://images.craigslist.org/00404_hlmaOyvhg8p_600x450.jpg,"Beautiful lakefront 4 Bedroom 3 Bath House Lovely Private Pool, Fully Fenced Back Yard. Granite Kitchen With Designer Cabinets. Upgraded Modern Home Density Luxury Waterfront Geographical Area Within Minutes To Rotary Park- Tarpon Point - The Rose Garden Area And Much More. This Is Vintage Cape Coral. Home Has Been Nicely Enhanced Over The Years. Pool Deck And Lanai Area Have An Outside Bar With Hd  Tv For Viewing, Small Refrigerator Available For Use. Waterfront Amenities Include A Massive Private Dock With Captains Walk. washer/dryer Kitchen has 2 burner induction stove, microwave/oven combo, medium size refrigerator, food pantry closet and small dishwasher. Bathroom has linen closet, full size shower and stacked washer/dryer hookup ups.",33.4564,-112.12799999999999,az
359023,7049988407,https://phoenix.craigslist.org/wvl/apa/d/phoenix-un-nuevo-comienzo/7049988407.html,phoenix,https://phoenix.craigslist.org,0,apartment,778,2,2.0,1,1,1,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00U0U_48TYw6OgNKR_600x450.jpg,SOMO EL COMPLEJO DE DEPARTAMENTOS DESERT WIND   VEN Y CONOCE UN NUEVO DEPARTAMENTO DONDE TE QUERRÃS QUEDAR!  ESTAMOS UBICADOS EN 4140 W MCDOWELL RD PHX AZ  85009  LLAMA A MARIFER AL  show contact info    REQUISITOS SON   3 ÃLTIMOS TALONES DE CHEQUE O COMO COMPROBAR TUS INGRESOS ID  COSTO DE APLICACIÃN $41.50 EN GIRO POSTAL  COSTO DE APARTADO $100 EN GIRO POSTAL   NO TIENES CREDITO O TIENES MAL CRÃDITO,33.4564,-112.12799999999999,az
359024,7049988110,https://phoenix.craigslist.org/evl/apa/d/chandler-upgraded-modern-lighting/7049988110.html,phoenix,https://phoenix.craigslist.org,1423,apartment,988,2,2.0,0,0,1,0,0,0,,,https://images.craigslist.org/00Y0Y_78YAVbIJdxl_600x450.jpg,"The Met at Fashion Center 1 N. Hearthstone Way, Chandler, AZ, 85226Interested in more information? See link below:http://cl.greystar.com/g6tw0m Call Now:  show contact info  x 98OR Text 98 to  show contact info  to contact our team. This is a 2 Bedroom, 2 Bath, approximately 988 Sq. Ft.  Modern, chic living is in store when you call The Met at Fashion Center your home. As one of the newest communities in the area, The Met offers its residents contemporary, high-end finishes including gourmet kitchens, high ceilings and gorgeous common area amenities that make it fun to entertain and to relax at home.Situated in the Valleyâs high tech district, near large employers and located near desired shopping, dining, and entertainment offerings, youâll find the perfect mix of convenience and fun. Weâre within a two minute walk from Chandler Fashion Center, where you can shop to your heartâs content and then enjoy upscale dining and a movie at the Harkins Theater. Youâll love all the activity options so close to where you reside.Youâll find it equally as exciting to stay home and entertain within the community. Invite friends and family over for a dip in one of our two resort style swimming pools or challenge them to a game of volleyball at our sand court. Lounge areas with fire pits and grilling stations add to the outdoor entertainment. Take the part indoors in our game room with ping pong and pool tables. Feeling healthy? Kick your health goals up a notch in our fitness center and yoga studio, and then relax in the sauna. Features - Upgraded modern lighting package  - Wired for technology  - Expansive window  - Distinctive wood style flooring  - Designer finishes with upgraded accents  - Quartz countertops  - Fully equipped gourmet kitchens  - In home washer & dryer  - Stainless steel appliances  - Vast nine foot ceilings in some units  - Personal patios or balconies Community Amenities - Yoga studio  - Garages on first floor  - Gaming room with pool table and ping pong  - Dog park  - Lounge areas with fire pit and grilling stations with seating  - Dry Sauna  - Controlled Access  - Kitchen with Wine Bar  - Pet Friendly  - Spa with Ramada  - Fitness Center  - Two resort style Swimming Pools  - Clubhouse with wifi in common areas  - Sand volleyball court Equal Housing Opportunity uytvubV1LX",33.3038,-111.906,az
359025,7033680429,https://phoenix.craigslist.org/evl/apa/d/chandler-poor-credit-broken-lease/7033680429.html,phoenix,https://phoenix.craigslist.org,1095,apartment,1295,2,2.0,1,1,1,0,0,0,w/d in unit,carport,https://images.craigslist.org/01313_1Wuh9JKgoGp_600x450.jpg,"Make life easier and let an apartment locator help you find your new apartment! Do you have challenges with your credit? No problem, I can help guide you to those that will approve you! Save money and time!!!!  If you have the following issues OR some other difficulty ~~Not so good credit ~~Broken lease ~~Eviction ~~Judgment ~~Low credit ~~1st time renter ~~Closed bankruptcy  ~~Large pet  Text or calling is ok - Please text if afterhours!  show contact info  - Ask for Beth!  My service is free, I only get paid if you sign a lease by the apartment owner! :)",33.3105,-111.824,az
359026,7049988093,https://phoenix.craigslist.org/evl/apa/d/gilbert-storage-space-air-conditioning/7049988093.html,phoenix,https://phoenix.craigslist.org,1773,apartment,1133,3,2.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00V0V_j3CySHdMFwK_600x450.jpg,"CLOSE TO WONDERFUL ENTERTAINMENT , EASY ACCESS TO 60 HIGHWAY...1,2 and 3 BEDROOM SPACIOUS APARTMENT HOMES WITH FULL WASHER/DRYER... ***STOP BY TODAY***PRICES CHANGE DAILY*** TODAY'S QUOTE IS ONLY GOOD FOR 48 HOURS.*** VISIT WWW.VISTAGROVEAPTHOMES.COM TO APPLY ONLINE Better Living. Better Life. Welcome home to Vista Grove Apartments, the ideal place for those looking for a world of convenience and a life of comfort. Located in Mesa, Arizona, this community is close to all of the local entertainment and leisure attractions of the area. You will be living at the center of all that Mesa has to offer! With four floor plans to choose from, you're sure to find something perfect! Call Now:  show contact info Interested In This Unit? Use this link for more details:http://cl.greystar.com/m8tv5b This is a 3 Bedroom, 2 Bath, approximately 1133 Sq. Ft. Features - Full Size Washer/Dryer in Unit  - Balcony, Deck or Patio  - Dishwashers  - Walk-in Closets  - Air Conditioning  - Heat Community Amenities - Swimming Pool  - Some Pets Allowed  - Fitness Center  - Disability Access  - Propane and Charcoal Grills  - Storage Space  - Business Center  - High Speed Internet Access  - Hot Tub  - Dining Room or Eat-in Kitchen  - Assigned Covered Parking  - Controlled or Gated Access  - Lounge Pet Policy Up to 2 pets per apartment home. 75lbs weight limit. Breed restrictions do apply. Office Hours Mon - Fri: 9:00 am - 6:00 pmSat: 10:00 am - 5:00 pmClosed: Sunday Vista Grove 1320 S. Val Vista Dr, Mesa, AZ, 85204Equal Housing Opportunity 6dng8yolS",33.3909,-111.755,az
359027,7049987908,https://phoenix.craigslist.org/evl/apa/d/phoenix-two-bedroom-in-beautiful/7049987908.html,phoenix,https://phoenix.craigslist.org,1389,apartment,1205,2,2.0,1,1,1,0,0,0,w/d in unit,carport,https://images.craigslist.org/00m0m_7lfayf9RThg_600x450.jpg,"Call Now -  show contact info     This is a 2 Bedroom, 2 Bath, approximately 1205 Sq. Ft.   Tucked into the Ahwatukee Foothills, just twenty minutes south of downtown Phoenix, AZ, Sierra Foothills offers style and convenience close to it all. Spacious one and two bedroom apartment homes feature chic design elements including lofty ceilings and vinyl flooring, as well as practical details such as in-home washer and dryer, and extra-large closets.  Resort-style amenities layer in the comfort, from two shimmering swimming pools to a well-appointed clubhouse and resident lounge. Join friends for a fun sand volleyball tournament, and wind down with a soak in the spa.  Live the lifestyle you choose at Sierra Foothills.   Features: Crown Molding, Soaring Nine-Foot Ceilings, Hardwood-Style Floors, Private Patio or Balcony, Energy-Efficient Appliances, Extra Large Closets   Community Amenities: Concierge Package Service, 24-Hour Fitness Center, Sand Volleyball Court, Covered Grilling Stations, Resort-Style Pool & Sundeck, Resident Lounge    Use this link for more information: http://cl.greystar.com/i10061   Equal Housing Opportunity    2RnmKst5",33.3236,-111.98899999999999,az
359028,7048661533,https://phoenix.craigslist.org/evl/apa/d/tempe-dont-miss-out-on-the-last-of-the/7048661533.html,phoenix,https://phoenix.craigslist.org,1330,apartment,503,0,1.0,1,1,0,1,0,1,w/d in unit,detached garage,https://images.craigslist.org/00Q0Q_fdtQvXshrqa_600x450.jpg,"ÅLiv Tempe is designed from the ground up to support the aspirations of our residents. Pursue your degree. Advance your career. Experience the city. With a modern take on community building, humanistic design, and premier amenities and services, ÅLiv helps you pursue what matters most. Make ÅLiv home, and see howÂ luxury apartments in TempeÂ can take you where you want to go.Â Åliv Tempe offers fully furnished units with modern, custom-designed furniture.-Custom Roller Shades In Living Room-Dishwasher-Refrigerator with Ice Maker-Tanning Salon-Limited, Assigned Parking Available In Gate-Controlled Garage-Close to Shopping-On-Site Maintenance-Online Payments Available-Insulated Interior Walls-Air Conditioning-Close to Public Transportation-Package ReceivingCall:  show contact info",33.4219,-111.939,az
359030,7049987542,https://phoenix.craigslist.org/cph/apa/d/phoenix-binge-watch-your-favorite-shows/7049987542.html,phoenix,https://phoenix.craigslist.org,1105,apartment,605,1,1.0,1,1,0,0,0,0,laundry on site,carport,https://images.craigslist.org/00T0T_b7xaQSnl5BI_600x450.jpg,"Bark. Woof. Welcome! Welcome to Arcadia Walk Call Now:  show contact info  x 33OR Text 33 to  show contact info  to text our team.Arcadia Walk 2606 North 44th Street, Phoenix, AZ, 85008Want more information? Follow this link:http://avenue5.aptfeatures.com/70m223 This is a 1 Bedroom, 1 Bath, approximately 605 Sq. Ft.  Welcome home to Arcadia Walk! Perfectly situated in the heart of Phoenix, Arizona, youâll be proud to call the Arcadia Walk Apartments your home. Stylish apartment homes await you at Arcadia Walk. Our spacious floor plans were designed with your comfort and convenience in mind, offering amenities that are second to none! Features - Free Air Conditioning  - Refrigerator  - Dishwasher  - Vertical Blinds  - Balcony/Patio *  - Spacious Walk In Closets  - Carpeted Floors  - Pantry Community Amenities - Barbecue and Picnic Area  - Laundry Facility  - Guest Parking  - Shimmering Swimming Pool  - Copy and Fax Services  - Easy Access to Shopping  - On-Site and On Call Maintenance Pet Policy Pets - Max 2 allowedComments: We do accept cats and dogs under 35 lbs.1 dog or 2 cats per apartment.Restrictions: No aggressive breeds allowed Office Hours Monday-Friday: 9:00AM-6:00PMSaturday:10:00AM-5:00PMEqual Housing Opportunity TISmmVM9n",33.477,-111.98700000000001,az
359031,7049987506,https://phoenix.craigslist.org/evl/apa/d/scottsdale-two-bedroom-two-bath/7049987506.html,phoenix,https://phoenix.craigslist.org,1400,apartment,1050,2,2.0,1,1,1,0,0,0,laundry on site,carport,https://images.craigslist.org/00x0x_LOF0XEAh2h_600x450.jpg,"Bark Park Nearby  Welcome to Monaco at McCormick Ranch Call Now:  show contact info Monaco at McCormick Ranch 8250 North Via Paseo Del Norte, Scottsdale, AZ, 85258 Use the link below for more details:http://cl.greystar.com/pL3n98 This is a 2 Bedroom, 2 Bath, approximately 1050 Sq. Ft.  Monaco Scottsdale Apartments is located in Scottsdale's prestigious McCormick Ranch. These Scottsdale Apartments are minutes from shopping, dining and entertainment in Old Town Scottsdale. Features - Walk-in Closet in Main Bedroom  - Contemporary Vanity with Brushed Nickel Finish Hardware - **Available On Renovated Units**  - Multi Cycle Dishwasher  - 4"" Blinds on Sliding Doors*  - Frost-Free Refrigeralar  - Granite Countertop with Backsplash*  - 1.5 Cubic Foot Over-the-range Microwave with Vent  - Stainless Steel Double Sink  - 100% Nylon, Stain Resistant Carpet in Living, Dining Area, Hallways and Bedrooms(s)  - Hallway Light Sconces*  - Private Balcony/Terrace  - Flat Panel Interior Doors  - Appliance Package  - Garbage Disposal  - Front Entry Door with Privacy Screen Door  - Large Spacious Floor Plan(s)  - 2 in 1 Washer and Dryer*  - Full-Size Ceramic Smooth Top Oven  - Lighting in Brushed Nickel Finish and Mirror Over Vanity*  - Showerhead and Tub Hardware in Chrome Finish Community Amenities - Fully Equipped Fitness Center  - Business Center with Internal and Fax  - Putting Green  - Resort Style Swimming Pool and Spa  - Covered Parking and Additional Guest Parking  - Modern Lounge  - Billiards Room  - Mature Landscaping with an Abundance of Palm Trees  - Barbeque Grills Pet Policy Cats - allowed, Rent $35 for one / $50 for twoDogs - allowed, Rent $35 for one / $50 for two Office Hours Monday - Friday: 8:30 AM-5:30 PMSaturday: 10:00 AM-5:00 PMSunday: Closed Equal Housing Opportunity 0GkOE6uc",33.5647,-111.89299999999999,az
359032,7049987342,https://phoenix.craigslist.org/evl/apa/d/gilbert-balcony-deck-or-patio-high/7049987342.html,phoenix,https://phoenix.craigslist.org,1648,apartment,1133,3,2.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00S0S_8F4kvr7hbsH_600x450.jpg,"CLOSE TO WONDERFUL ENTERTAINMENT , EASY ACCESS TO 60 HIGHWAY...1,2 and 3 BEDROOM SPACIOUS APARTMENT HOMES WITH FULL WASHER/DRYER... ***STOP BY TODAY***PRICES CHANGE DAILY*** TODAY'S QUOTE IS ONLY GOOD FOR 48 HOURS.*** VISIT WWW.VISTAGROVEAPTHOMES.COM TO APPLY ONLINE    Vista Grove 1320 S. Val Vista Dr, Mesa, AZ, 85204   Call Now -  show contact info   More unit details at: http://cl.greystar.com/m4r91x  Better Living. Better Life.   This is a 3 Bedroom, 2 Bath, approximately 1133 Sq. Ft.   Welcome home to Vista Grove Apartments, the ideal place for those looking for a world of convenience and a life of comfort. Located in Mesa, Arizona, this community is close to all of the local entertainment and leisure attractions of the area. You will be living at the center of all that Mesa has to offer! With four floor plans to choose from, you're sure to find something perfect!     Pet Policy:  Up to 2 pets per apartment home. 75lbs weight limit. Breed restrictions do apply.    Office Hours:  Mon - Fri: 9:00 am - 6:00 pm Sat: 10:00 am - 5:00 pm Closed: Sunday   Equal Housing Opportunity    kPNTgK72",33.3911,-111.75399999999999,az
359033,7046975881,https://phoenix.craigslist.org/evl/apa/d/scottsdale-2-brdm-2-bath-condo-old-town/7046975881.html,phoenix,https://phoenix.craigslist.org,1525,condo,1150,2,2.0,0,0,0,0,0,0,w/d in unit,carport,https://images.craigslist.org/00T0T_eKJdj5GXTiT_600x450.jpg,"Available  Prestine 2  bdrm, 2 bath,  1st floor condo open floor plan.  French doors open to a private patio with water feature.  Kitchen with top of the line cherry wood cabinetry, all stainless steel appliances (Refrigerator, stove, microwave, dishwasher and washer and dryer.  Common area: pool, water feature, entertainment center, BBA, Jacuzzi. Walk to Old Town Scottsdale, market, shops, restaurants.   Can consider small pet. Managed by owner - Laura Ferrall cell  show contact info .   Please TEXT or CALL to set appointment to see condo. NO inquiries for short-term or vacation rental",33.4945,-111.913,az
359034,7049987270,https://phoenix.craigslist.org/evl/apa/d/chandler-come-visit-today-private-patio/7049987270.html,phoenix,https://phoenix.craigslist.org,1130,apartment,811,1,1.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00Z0Z_5DH64PEcInX_600x450.jpg,"Dobson Towne Centre, managed by Weidner Apartment Homes 1817 North Dobson Road Chandler, AZ 85224  show contact info   When its time for recreation, Desert Breeze Park is a short stroll away. Call Dobson Towne Centre to schedule a private tour today!  Large bedroom with walk in closet, patio and open living area. Washer and dryer area too! Call today!   VIEW OUR WEBSITE:  http://www.weidner.com/chandler/dobson-towne-centre-apartments/switch_cls[id]/30834/    [#7008135]",33.3332,-111.875,az
359035,7049987111,https://phoenix.craigslist.org/evl/apa/d/mesa-dishwasher-pool-window-coverings/7049987111.html,phoenix,https://phoenix.craigslist.org,1035,apartment,550,1,1.0,1,1,1,0,0,0,,,https://images.craigslist.org/00s0s_g1CIxQhx9Fq_600x450.jpg,"Madera Point Apartments is a suburban apartment community conveniently located in the heart of Mesa, Arizona. The location offers convenient access to Loop 202, Loop 101, the Superstition Freeway, the Metro Light Rail, and Banner Desert Hospital and is just minutes away from Tempe Marketplace and Mesa Riverview shopping venues, Mesa Community College, fine dining, parks and hiking trails.  -Newly Renovated -Electronic Thermostat -24-Hour Laundry Room -Outdoor BBQ Kitchen with Fire Pit -Public Transportation -Clubhouse -Carpeting -State-of-the-Art Fitness Center with Cardio & Resistance Equipment -Covered Parking -Disposal -Light Rail & Freeway Access -Pantry  Call:  show contact info   For more information, visit us at: www.MaderaPoint.com  Pricing and availability subject to change. Equal housing opportunity.",33.4068,-111.874,az
359036,7049986236,https://phoenix.craigslist.org/evl/apa/d/mesa-spacious-two-bedrooms-available/7049986236.html,phoenix,https://phoenix.craigslist.org,1183,apartment,805,2,2.0,1,1,1,0,0,0,laundry on site,carport,https://images.craigslist.org/00K0K_45hSOpM3IxD_600x450.jpg,"Discover ReNew 3030 Making Renew 3030 your home is the first step to a life of relaxation in the ideal Mesa location! This restyled community provides easy access to US 60 and AZ Loop 202 and is just minutes away from AZ Loop 101, Phoenix Sky Harbor Airport, and many resorts. Residents enjoy the convenience of the Valley Metro Light-Rail expansion plus the wide variety of shopping at Mesa Grand and Mesa Riverview Shopping Centers, hiking at The Tonto National Forest or Usery Mountain Regional Park, and tubing down the Salt River. Our apartment homes are equipped with black appliances, updated cabinetry, brushed nickel lighting, and washers & dryers. You'll be delighted with our amenities that include a relaxing swimming pool, picnic area with grill, a state-of-the-art fitness center, bark park and so much more! At Renew 3030, we provide more than a place to live; we offer a lifestyle! Visit our photo gallery or give us a call to schedule a personal tour and open the door to a new way of living!  -Gas Utilities Included -Window Coverings -Individual Climate Control -Fitness Center -Wheelchair Accessible -Disposal -Accepts Credit Card Payments -Cable/Satellite  Call:  show contact info",33.4082,-111.766,az
